                                    repo,                                   commit, notebooks, language, version
                           cx0/quant_gen, db7cf63efd0544c2951b394c965f9ffa8a19d064,         1,     julia,   0.6.2
            sergiobol/julia_introduction, 426397df3c821f68824a554254f1308c1af1c868,         1,     julia,   0.5.1
             sergiobarrera/Kalman_Filter, ad755391089a2869ad083de2125be0edd197898b,         1,     julia,   0.5.1
                        eduardoacye/aiml, 3838350b48e3140791c9859bd110403632f41c83,         1,     julia,   0.6.0
                         effvoniks/Week1, 86e5761f8364c25c27431a061c88d113e6d0fd41,         1,     julia,   0.5.0
             sebmart/intro-julia-jupyter, 55e57e8fc3b7973d0b8bfbdc1525fc5c0d8ba8ed,         1,     julia,   0.5.0
       ekinakyurek/GAN-70-Lines-of-Julia, 66a60a6ea4532841ee647f08759ae9b1ace0c892,         1,     julia,   0.6.0
                           elrnv/acrobot, 316d77ee282f801a887c78fdca75cbb1039456f7,         1,     julia,   0.6.1
                           engr3os/NGSIM, f16d684e491a567e26816f0ba37c2d65bfedaaff,         1,     julia,   0.4.6
             ericjang/julia-cuda-samples, c43ff29fd73fe6e21c72d7de565eb64bf39979a9,         1,     julia,  0.3.11
             ericjang/variance_reduction, 456c194b4969ea66e62851aabf1e800082da9034,         1,     julia,   0.4.6
                     ericlee0803/tensorz, 85c65af3f784d4b590cfe02723ed60e61111b843,         1,     julia,   0.5.2
                 seung-lab/DVIDArrays.jl, 2dfc422ae1474358e4ca0706a71ff8455c5a35e5,         1,     julia,   0.5.0
                         espintos/MCRAFT, 28b23df31ca79f7d7aedcb4c5f2c112831cef045,         1,     julia,   0.4.0
         f-fathurrahman/ffr-julia-stuffs, 20c79a77d0185e681e6220e1a8388f06c931fce1,         1,     julia,   0.4.6
                   sdwfrost/Gillespie.jl, 4c90dc49fe1707193ab025a72807cb442c08c1e7,         1,     julia,   0.5.1
                      fancompute/FDFD.jl, 9d4d5b8a04f693ad6e9ed826aebb16a66568eb75,         1,     julia,   0.6.3
                              farr/hires, bc887f71afcf599a3986086980037c3b7efbf235,         1,     julia,   0.5.1
                           fbastin/julia, 4c98378d748d0666c968c723089912641dd84775,         1,     julia,   0.5.0
                          fboemer/roboat, 5c45084c447ca857518e5081c4e8036d263620be,         1,     julia,   0.6.0
felipenoris/HeavyDutyFixedIncomePricing_JuliaCon2017, 5b9180b4d04a9018ce5bdb346ba6534de53a5f7b,         1,     julia,   0.5.3
                            schuberm/qrw, ca35accb72d24722a9101d31ccb871f6383346df,         1,     julia,   0.4.5
 feyzatoksal/generative-adversarial-nets, 88c9f897b255fed761a080bfb2ba6c56e0d64914,         1,     julia,   0.6.2
             schrauf/Goet2017-JuliaIntro, 69d5ac8934c699489dc3c56567aa9dabdaaec936,         1,     julia,   0.6.0
                        flavioalles/data, 401460074cb44674676c9530bd79f566993daa74,         1,     julia,   0.4.1
                    etc6270/IILA-SENAMHI, a2695b440f58dd1154032a0c16edafebf51724a9,         1,     julia,   0.5.0
               flavioalles/openmp-traces, b354795fd85f28605ba1cc2f76c12f83a1bba364,         1,     julia,   0.4.0
       dpsanders/random_matrix_notebooks, a31f0f4b274691805680d45ea0a145d1fe44b891,         1,     julia,   0.4.3
       siempreasha/siempreasha.github.io, a873ecbb73644dcb1aba0837f6773cb8ffd76063,         1,     julia,   0.4.2
              defeo/Nemo-embeddings-demo, 5dcfd1c1fd3c99eb5a6a3b8ce4c01758e34f3a9a,         1,     julia,   0.6.1
            demacdolincoln/julia-mat-fis, 9deb0d5271f32a54683b833584589f825801b67d,         1,     julia,   0.6.0
           sivark/DeterministicAnnealing, 1bfe52d32eb357ce77dc87deb6d04ed43e5cdb75,         1,     julia,   0.5.0
                      deschase/ProjetFAT, 4c5c8088d5a8d77bb3ecfc155bd993af3845ac24,         1,     julia,   0.5.2
                         sisl/av_testing, a4665b7e8e41b00121091837bddd2f1d5255da2f,         1,     julia,   0.5.2
                     sisl/Revealables.jl, 1af134f4e28b89d819a30763707e91a41a268cf5,         1,     julia,  0.3.10
     dgoss28/AutonomousFleetOptimization, b4c7e8845bc353ac19cb9e7a07f939e1067b9cd8,         1,     julia,   0.5.0
                           sisl/NGSIM.jl, e7a32bf5c4e3f7e2bf5a154d2ea92e9c664a7d7d,         1,     julia,   0.6.0
               diegohdzrjk/Prueba_travis, 31e5d86819d948e4921995a224c3c0d2b789a365,         1,     julia,   0.4.6
                        simulkade/peteng, 7386fb199b7282a2c8a6889da63440f116691bea,         1,     julia,   0.5.2
           diegozea/DesarrollandoEnJulia, 9d07e5cafb11751495abcc760d6cf63ed97e5b1e,         1,     julia,   0.4.1
                      shizejin/Notebooks, 8ebba869593f64ba93dbf2a46d56c6d731149419,         1,     julia,   0.6.0
                          diegozea/Talks, d882821c28c73ca6739dd85ec537cd5bc5856841,         1,     julia,   0.4.2
                  dillondaudert/JuliaFFT, eeb80cd0b2208cba70bf024c092228cb898ea015,         1,     julia,   0.6.2
                      djsegal/julia-dash, 6837fae347b67f06aa4ca3c1c841c1581a508c6d,         1,     julia,   0.6.2
                    dkeitley/binder-test, 4fee12b6625b8224088f9018e29848a09e3e52ac,         1,     julia,   0.6.0
                        dkensinger/julia, 3f6cd5ef21409b5377cd287590e5f9f6f71a5ebe,         1,     julia,   0.4.5
simonster/Kornblith-et-al-2017-Current-Biology, 4b46fef287b3d849695ec93d69c1f82075bf7ed8,         1,     julia,   0.5.1
                     dmbates/LendingClub, 8335e00f2ae5dcfe6a5518e61ff17adb30b4e8d7,         1,     julia,   0.6.0
                        simonbyrne/Pi.jl, 94961e613c36520e99ac84ed7e64d5cb29d0b924,         1,     julia,   0.5.1
                         dmbates/PolMeth, f95bae18669a0e92a4ada282dd4e6c35ae0657f1,         1,     julia,   0.6.0
              dmoliveira/My-Hacker-Codes, ee4c11e0acd5fa2bdeefa7725a28923b23a2e26e,         1,     julia,   0.4.1
               dpabon/julia_introduction, 1be72e66ccb2874bf06e68624c679565b3dff15a,         1,     julia,   0.5.1
 simonbatzner/Successive-Over-Relaxation, 7cd732bcbb6676aa8b6d2f7b31302963de9a6c1f,         1,     julia,   0.6.2
                    diengiau/julia_basic, a355d804783441e047f7682523de7e172edc0089,         1,     julia,   0.5.1
                    schmrlng/MCMP-ISRR15, 78cc12c6a528b1b1193f85f3b23c2c3e6037bbcc,         1,     julia,   0.3.8
                             fra100/tesi, 053c417a8018d924e1b85fb72b023528558d122d,         1,     julia,   0.4.3
                      fratava/Cosmicrays, 3f95b291ed7668a7ec10a5cc7524a62b981460e8,         1,     julia,   0.4.2
                             hbdo/DQN.jl, 8bafe977c534fbcdea1cc2b71d97468255f40be5,         1,     julia,   0.6.1
          heatherw3521/Dynamical_systems, d89b0e8bcf86323423d3225f7316849c88a7c2ff,         1,     julia,   0.5.0
                    helgee/juliacon-2016, 2c02f7e24943019f9c3ec26ee012668ab5459106,         1,     julia,   0.4.5
                        helgee/oscw-2017, 7dc07597752586064e9266602cb66bf28dc080f2,         1,     julia,   0.6.1
            helloleonguan/crash_on_Julia, 7e8e28e7154f478745bc8ce3a0031754e5af456b,         1,     julia,   0.6.2
                      sanjmohan/fractals, e2d4e925db3a4c05c05dc5afc5b895a6ee121f3a,         1,     julia,   0.5.1
                henrybechtel/planetMoons, 02475fa157cb0cd52f719aabde280f1b64105ce8,         1,     julia,   0.6.2
                       hessammehr/XRD.jl, 64738a7bdb4ef9baea5107d68d4cece91f2ffcc5,         1,     julia,   0.6.0
             hessammehr/bayesian-fitting, a3a9419e5d7f9c5131ded0e4a1110f21ada16cee,         1,     julia,   0.6.1
                      hiemstar/iga-demos, 9fbea522fb0dfeb0f674a0b9e56747c91bf36c3d,         1,     julia,   0.4.2
               hieu325/juliawaveparareal, 03d206537a757aaee485342fbd53ecc5dbe29ac1,         1,     julia,   0.6.0
harvey222/Classifier-for-hand-written-numbers, 130804da7717c0b7c457bad79cfe4f33326920db,         1,     julia,   0.6.0
      hirokikanamaru/MyInterpolations.jl, 0cc63abd9edfba3e7009b19fd809afa077700453,         1,     julia,   0.5.1
         honghuzi/Levels-Complex-scaling, 539a736f138a4bf75a1bf97cfb3579782308cf63,         1,     julia,   0.5.0
              samantabatabaii/RTG-of-CMB, 62954133490bc9997f3e69feacaee3776720045d,         1,     julia,   0.4.3
            hottolink/NonlinearCausality, 80fa1279d0ea052660e4be6f8325b2887f1e8a24,         1,     julia,   0.5.2
         huberdlTK/COMPLETACION-DE-DATOS, c6db8765daf4b324b492b9544a48520e74bb5a5c,         1,     julia,   0.5.0
                         humbague/tarea3, 40cecc523867709b5d2cfaac934273362342ef46,         1,     julia,   0.4.6
                         humbague/tarea5, 2a103f9a7c5cc2da693d7c3309fdf4a2c31d0dc1,         1,     julia,   0.5.0
                     humbertorres/Tareas, de33c76966a46cc316c7485e050447f9712b4c82,         1,     julia,   0.5.0
                       huntermills707/LU, c8170a6eecab999a67f88f101db528a91f2d1e4a,         1,     julia,   0.6.0
                     huntermills707/chol, 7a64e20dac55a854137e8d717961cde1e9b1d88a,         1,     julia,   0.6.0
                       huntermills707/qr, 27ab601f266c2f5772ea58d52206881c8e7d1726,         1,     julia,   0.6.0
             i-apellaniz/PublicNotebooks, 200500352a2ad72e312b5eaad215300ace704060,         1,     julia,   0.5.0
   hirokikanamaru/ProductionInventory.jl, 9ac60e550cc1d81dac98bf0943361f627c780f72,         1,     julia,   0.6.0
                       sanmakaren/csc220, 4c4b66b3db90629e68bb3d3ba87dc5bb426c53b0,         1,     julia,   0.6.2
                     habemus-papadum/420, e39e94d955630e23e34944b9a4f2793c2a08ac03,         1,     julia,   0.5.0
        gwater/PiecewiseInterpolation.jl, b1cf59d39b708320f0b08208eabf4860c503fb76,         1,     julia,   0.5.2
                 fratava/MachineLearning, 259c3f658cc90eb523c0925203b37f59ad5299cd,         1,     julia,   0.4.3
                             fratava/UGM, 7a75378e81daaf549150876ccbd653ddba8a9fc8,         1,     julia,   0.4.3
              fschueler/julia_playground, 01ba51873ae20d16976b6df9b0437c564bcd2f28,         1,     julia,   0.4.6
                     fschueler/notebooks, b5c1e20596219162c1f2118a8e924fdb886b2800,         1,     julia,   0.4.0
               gaborbernat/hashcode_2017, 843ca56fa39bdebb84986f6bccdf8a44e328621e,         1,     julia,   0.5.0
           garfield-xue/ipython-notebook, f267781da7189b4488812875c70b051633c3a2ac,         1,     julia,  0.3.12
          schluppeck/psychometricFitting, b75c45306efe9cf1a8a8bb385307946cff069824,         1,     julia,   0.6.1
         schluppeck/linearRegressionDemo, 86da22081fa279a407ad906a9bf0a5917b29de7d,         1,     julia,   0.6.0
              gbrlambais/BehavioralMacro, 3889f69744c478f0716ca87c7f97be5b4ca6e8df,         1,     julia,   0.5.2
                        gbrlambais/macro, 84124b77923693ebfa18921a0e9cd430b17616fe,         1,     julia,   0.5.2
                gdowdy3/ChemE-Scheduling, 5079ec0170021f766801dfd0de8e133ad07ad2d2,         1,     julia,   0.5.0
                   geans/Multicast-Julia, 1d4c5cf12981b3c4a5387a8917135c812f2f0e09,         1,     julia,  0.3.12
                       geraq/ECIcitytour, 5e2c8a3dd137500c72012760ca20ecc85b32577a,         1,     julia,   0.6.0
                        gganssle/tle_fwi, 22b7bab253170b8081e185bf4d14080f0b977c68,         1,     julia,   0.4.5
                   ggy/fouille_de_textes, 1775f8e440e75f5d30289494f2b873b2c83681ac,         1,     julia,   0.4.5
                scharles1/AA228_Project1, 5aae544a289ef03c3ea140ec986eb0194e1d8461,         1,     julia,   0.6.0
             gitter-badger/HW-funcapprox, 81754d3a3e9f84b96cdff45f4e4fe8dcf2e2c060,         1,     julia,   0.4.0
            gitter-badger/HW_constrained, 243c2c5ff3936689186d3d7fbfb1ee45a422bb58,         1,     julia,   0.4.0
         goropikari/JuliaPlotsGallery.jl, 1d7ea7b6e4814c686d9a7f1460a8e58cf0cda37b,         1,     julia,   0.6.2
                    saschatimme/topology, efe8e12b3dea190dc7b3d523dc3db0ae899466ff,         1,     julia,   0.5.0
                   sarahblagdon/Research, bf49d546a2ee2cf18f41206c565cad6d286baa24,         1,     julia,   0.6.0
                     grayclhn/runshuffle, 624cc045558ba1760aa9f3650e53f16cad328d56,         1,     julia,   0.4.6
