                                    repo,                                   commit, notebooks, language, version
           18F/identity-analysis-sandbox, 3c0b49513bed33d40374f424c9282fb53ea6f171,         1,    python,   3.5.1
learn-co-students/conditionals-python-lab-data-science-alpha, c58a6e89353b4f61f15b1fa8058059887b0dc14d,         1,    python,   3.6.5
learn-co-students/conditionals-python-lab-data-science-intro-000, c58a6e89353b4f61f15b1fa8058059887b0dc14d,         1,    python,   3.6.4
learn-co-students/conditionals-python-lab-demo-machine-learning, c58a6e89353b4f61f15b1fa8058059887b0dc14d,         1,    python,   3.6.4
learn-co-students/conditionals-python-readme-data-science-alpha, 235b163d8aecde77589848b8baba0cbcdd469982,         1,    python,   3.6.5
learn-co-students/conditionals-python-readme-data-science-intro-000, 235b163d8aecde77589848b8baba0cbcdd469982,         1,    python,   3.6.4
learn-co-students/conditionals-python-readme-demo-machine-learning, 235b163d8aecde77589848b8baba0cbcdd469982,         1,    python,   3.6.4
learn-co-students/for-loops-readme-data-science-pilot, 3de188f66850dffb195a2f05b3825371ce2cae5d,         1,    python,   3.6.1
learn-co-students/map-filter-readme-data-science-alpha, 81f7f157e45f22855ce405afbca108f901c66702,         1,    python,   3.6.1
learn-co-students/map-readme-python-data-science-alpha, 83b27c20873c1b0c835a132533c3df1deae13a00,         1,    python,   3.6.5
learn-co-students/map-readme-python-data-science-intro-000, 83b27c20873c1b0c835a132533c3df1deae13a00,         1,    python,   3.6.5
learn-co-students/map-readme-python-demo-machine-learning, 83b27c20873c1b0c835a132533c3df1deae13a00,         1,    python,   3.6.5
learn-co-students/calculating-distance-lab-nikhil-test-ds, 94c9b65da642534d06c5cb5005a5b593e48f57a2,         1,    python,   3.6.1
learn-co-students/plotting-data-lab-data-science, c3f8ebf6f0497c2a3692cf882d2fc785fd021226,         1,    python,   3.6.5
learn-co-students/plotting-data-lab-data-science-intro-000, c3f8ebf6f0497c2a3692cf882d2fc785fd021226,         1,    python,   3.6.4
learn-co-students/plotting-data-lab-data-science-pilot, c3f8ebf6f0497c2a3692cf882d2fc785fd021226,         1,    python,   3.6.5
learn-co-students/plotting-data-lab-demo-machine-learning, c3f8ebf6f0497c2a3692cf882d2fc785fd021226,         1,    python,   3.6.4
learn-co-students/plotting-data-readme-data-science, 61334ddd8776ca2a4e6dc8a5871493598cf98793,         1,    python,   3.6.5
learn-co-students/plotting-data-readme-data-science-alpha, 61334ddd8776ca2a4e6dc8a5871493598cf98793,         1,    python,   3.6.5
learn-co-students/plotting-data-readme-data-science-intro-000, 61334ddd8776ca2a4e6dc8a5871493598cf98793,         1,    python,   3.6.5
learn-co-students/plotting-data-readme-data-science-pilot, 61334ddd8776ca2a4e6dc8a5871493598cf98793,         1,    python,   3.6.5
learn-co-students/plotting-data-readme-demo-machine-learning, 61334ddd8776ca2a4e6dc8a5871493598cf98793,         1,    python,   3.6.4
learn-co-students/python-variables-lab-data-science, 6fe3f2a3aa8482970a262503bc99029eb1c92606,         1,    python,  2.7.14
learn-co-students/python-variables-lab-data-science-alpha, 6fe3f2a3aa8482970a262503bc99029eb1c92606,         1,    python,  2.7.14
learn-co-students/python-variables-lab-data-science-intro-000, 6fe3f2a3aa8482970a262503bc99029eb1c92606,         1,    python,  2.7.14
learn-co-students/plotting-data-lab-data-science-alpha, c3f8ebf6f0497c2a3692cf882d2fc785fd021226,         1,    python,   3.6.5
learn-co-students/python-variables-lab-data-science-pilot, 6fe3f2a3aa8482970a262503bc99029eb1c92606,         1,    python,  2.7.14
learn-co-students/calculating-distance-lab-nikhil-data-science-test, 94c9b65da642534d06c5cb5005a5b593e48f57a2,         1,    python,   3.6.1
learn-co-students/calculating-distance-lab-ds-test-lights, 94c9b65da642534d06c5cb5005a5b593e48f57a2,         1,    python,   3.6.1
