                                    repo,                                   commit, notebooks, language, version
    prateek27/ml-workshop-pec-chandigarh, b07ed16fb3d9d615045c7fc94e7725f9353fec2f,         2,    python,   3.6.4
      kajay/Decision-Tree--Random-Forest, 19ddb01df3c57b6fd8d759703750f133ec5b26c0,         1,    python,   3.5.1
garmo/Student-Alcohol-Consumption-and-Grades, 15b7f53da4bcfb106ca2fe876c6cd5b29f182cf8,         1,    python,   3.5.2
                josephofiowa/zuck-harvey, e7a45a0ac88ef033d290b015cd8873dff1486ec3,         1,    python,  2.7.12
yogendra-sahu/data-structures-algorithms-in-python, 7cbec637898f1ce9eff7affedc9f7a7da096a694,         3,    python,   3.6.1
              richford/nuc_astro_midterm, f54ddc11bf67c851bbcbcdfe2440c8a23d0a935e,         1,    python,   3.5.1
                  MarkWh1te/MLAlgorithms, 1a3ba3adcbfe379a78a4508ae9433c78270d77f5,         3,    python, 3.6.0;3.6.2
    lovekesh-thakur/ML-Ipython-Notebooks, 5a76fe1a29abdac8f1b91e15fb0b9580080b58e9,         1,    python, 2.7.11+
                            baroncs1/TDK, bc1fc57c1ba1ede881619f68c40865e58b8e3b39,         1,    python,   3.5.2
                               brsr/math, 5867ea2b1085a74e2627669ad07aface110bc1af,         4,    python, 3.5.2;3.6.1
kutvonenaki/PCA-LDA-of-handwritten-digits, 58213a1be835b0a186c0811da8afacff9e8f5f47,         1,    python,   3.5.1
                          annu025/Kaggle, c752c7e78f3e23120f52afc72a498b23e87e140d,         1,    python,   3.6.2
                     bachsh/hydrodynamic, 03280affd137edb9e27157456c9a3e42eb4b1070,         1,    python,   3.6.1
                   tamitarai/github-test, 77be9b9b67f754ec68b5eab6dcb17b66831a0800,         1,    python,   3.5.3
                   guanyunie/stat679work, 49c0d1eb9d9da456cbaf5b1b884c397710b52912,         1,    python,   3.5.2
             FrancescaNatale/PAA-project, 7f855257d6f95434f6a6b1c364fdab730ec880d0,         1,    python,   3.6.0
Jurasr/4VisualizingCollegeMajorsEarnings, 06d34ded3ec89502f04999e0d69e51d7805f3055,         1,    python,   3.6.3
          himanshun3/New-Year-Resolution, 4d9313a437ac02f02927d0263bb3b73b2a354d33,         1,    python,   3.6.2
mat-esp-2015/capstone-adelia-daniela-daniel, b90f9848a76924d1416f759f474c6082cd593062,         1,    python,   3.4.3
             basqueinmyglory/WebScraping, a060312b7cf888379d130a411ac4fe5dfed62a42,         3,    python,   3.6.0
                    AngelinaYuz/goldbach, c4bbedc3d7a43512bc6bee0f921039caea20aabc,         1,    python,   3.6.1
