No;Repo ;Repo2docker-checker, without commit;
1;zzar43/CIECAM02, 203a07ff71d8d3ab5ec959a1ec950319d83df1fa;3 failures;
2;bencardoen/graph_course_presentation@8dbef83060876af03ecf8a58257bee2ec006636e;1 failed. No such kernel named Julia 0.6;
3;bencardoen/julianotes, 6a32bc03367709449300f3853156c89d849513e8;1 failed. No such kernel named Julia 0.6;
4;bencardoen/srm_model, 3da1ab31417f7259afe8a2d0dadbd3b68f45d00b;1 failed. No such kernel named Julia 0.6;
5;mandarup/demo-lab, cfa4f1bd30d73882aad18ab6c5b6988132521c18;2 failures. Module and No such kernel named Julia 0.5;
6;malmaud/juliacon2017@e696adb888667e2627c4a7bac3dc597df26125a5;3 failures, Module and 0.6;
7;berceanu/notebooks, 7ff4737af47dfed1cae15285a572a3de1e523119;4 failures, modules, file not found;
8;berceanu/notebooks;5 failures. Module and AssertionError;
9;malmaud/julia_class, c8f0d7cdea1e7b9609d16a23ccd9a8a461f8f586;1 failures, 0.6;
10;makutaga/nntutorial, ef8d7d6860c55b19b89ac3c9b5b42107cef4b5e6;1 failure, 0.4;
11;bermanmaxim/SSVMjulia, 78bac3f07d57641a6e5ae03483810ef8715c1881;Build failed, keyError 0.4 leading to subProcess;
12;bgklein/524-Final-Project, b566a905a820ab3230bedd08b04dae70dd432e48;Username;
13;bgrimmer/Radial-Subgradient-Method, 28e3e7f10167b8715c5481a163895617d42cc25a;1 failure. 0.5;
14;bicycle1885/Julia-Tutorial@6e026bd00722eed8f660e21bad91f2cd35ca55c3;1 failure. 0.6;
15;bicycle1885/JuliaTokyo7, ae832a149fa4b73eeab0aac0f271d3eb3afc7e03;2 failures, 0.6;
16;bimalmaharjan/titanicsurvival, f07ed5eaf1d3a54ce2eb37d517048a7bdf47c732;5 failures, modules not found;
17;benbl/spotify-research, 70731b3d7655570413b413f4f1bd577364961e54;2 fail, 3 ok, module and JSON error?;
18;bindatype/Crash, 2e6a8442ff26e535e630a5db5ad767f914618a77;1 failure, 0.6;
19;bindatype/RelaxPython, f99fd995d077b7fff5aab2380772fb2508f00833;1 failure, 0.6;
20;binder-project/binder-build-core, fb4b6a75e2c7fcea2547bbc0a96a0377df0d7dc5;2 failures;
21;;0.3, modules (matplotlib);
22;binder-project/example-dockerfile, efcff45211e371a923e617ffa02ef63b82e6e946;Build failed. RunTimeError;
23;biocad/scripts, bdb749a68f0dea3520ad191a9f9dc51bb62f64fc;Username;
24;bisraelsen/iJulia_share, 17a0aa7fea76999ae1b851f082b145781807e0b4;1 failure. 0.4;
25;bit-player/getting-to-know-julia, dd93e111e6ab42e2ea26642ade0809fb4b62d4eb;1 failure, 0.4;
26;bit-player/primeafterprime, 4fae9eea3b7192fb033bfee0457a00dd80605933;1 failure, 0.4;
27;bkamins/The-Julia-Express, 922379c00227a1e8b32c7e636eab4d20f5a22db6;1 failure, 0.5 ;
28;bklimowski/notebooks;No URL found for submodule path;
29;blakemandell/math-1610-project;1 failure. 0.3;
30;blas-ko/simulacion_gases_reversible;1 failure. 0.4;
31;blas-ko/version_control;1 failure. 0.4;
32;blogdatasapiens/stegosaurus-brain;1 failure. 0.4;
33;bmeyers/SolarForecasting;5 failures. SyntaxError (python2), module (numpy);
34;madeleineudell/Convex-Finance-2017;1 failure. 0.6;
35;bogdad/bitcoinquandl;1 failure. 0.5;
36;benbl/first-python-notebook;2 fail, 3 ok. Module, notebook JSON is invalid. Says 1 notebook?;
37;manuSrep/Plotting;2 fail, Module, 0.5;
38;maxov/cs70-ws;2 fail. 0.6, module;
39;matthijscox/many-models;2 fail. Module, 0.6;
40;matthieubulte/seminar-symplectic-ode;1 failure. 0.6;
41;audreypmac/LCM-and-GCF;1 failure. 0.6;
42;matthewmacleod/mkm_notebooks;5 failures. fileNotFound, module, 0.5;
