No;Repo;repo2docker-checker, without commit
1;Midnight93/University-rank, 640650e0a677d359a8e741d015f9635a821c570c;1 failure. No such kernel named ride
2;Midnight93/kaggle_presentation, 4101fe3cb3246ec62e5f876ad2b8e4edd6ef91a5;"2 failures. Module (pandas) and ""ride"""
3;marami52/nb-test, 4c480bbed5262a6fdf8afd7164005bd8099ec53b;"3 failures. Module and ""ride"""
4;mlu68/Face, 157ae897c1d8de7137eafc1c45bed38eee7a15f5;1 failure. Ride
5;mlu68/rf_ci, 3e9a74562fc3f31baf2d76e7e6b6d5ab22a43154;1 failure. Ride
6;mlu68/withOlivier2017, 46d085a8cc7fc3308942fad276bc498f1d5edc71;1 failure. Ride
7;priyanjnasharma/Priyanjna_Sharma_ADS_2017;2 failures. Module and no kernel named ir
8;cynicalanlz/basic_statistics;5 failures. Modules
9;nandanrao/machine-learning;2 failures. No kernel named ir
10;nakannohc/traffic-accident;3 fail. 1 ok. No such kernel named ir
11;nadiinchi/PSAD_homework;1 failure. Ir
12;cyverse-gis/neon_data_science;5 failures. Module, FileNotFound
13;n-birta/DS_lab_oracle;Username
14;myz540/fantasy_analytics;5 failures. Modules
15;d-alex-hughes/apsa-presentation;2 failures. Ir
16;naomifridman/SoiRecTimeSeries;1 failure. No such module named R
17;d-alex-hughes/sharing-mx-experiment;2 failures. Ir
18;mytk0u0/psyexp-tutorial-2017;5 failures. Modules, syntax
19;mykebrowne/data-512-a6;1 failure. Ir
20;daidoji/Kaggle;2 failures. Module, ir
21;mykebrowne/data-512-a2;1 failure. Ir
22;daiknaka/sentimentalanalysis;1 failure. Ir
23;dale-mumper-ibm/dsx-overview-class;3 failures. Module, name, no kernel named r-spark20
24;mykebrowne/data-512-a1;1 failure. Ir
25;myfrozty/MUAS-works;Username
26;mytk0u0/statistical-modelling-with-python;1 ok, 4 failures. Modules, ir
27;myazdani/jupyter-microbiome;2 failures. Ir
28;cyamma/predicthouse;Username
29;napsternxg/ControversialTweetAnalysis;5 failures. Modules
30;natlai123/R_Practice_Code;Username
31;nathanesau/coord;Username
32;crviana/md_enade;1 failure, ir
33;csathish/data_science;1 failure, ir
