No;Repo ;Repo2docker-checker 
1;18F/identity-analysis-sandbox;Build failed. Exit status 1 
2;learn-co-students/calculating-distance-lab-ds-test-nikhil-steven;Username
3;learn-co-students/calculating-distance-lab-nikhil-data-science-test;Username
4;learn-co-students/calculating-distance-lab-nikhil-test-ds;Username
5;learn-co-students/conditionals-python-lab-data-science-alpha;1 failure. TypeError 
6;learn-co-students/conditionals-python-lab-data-science-intro-000;1 failure. TypeError
7;learn-co-students/conditionals-python-lab-demo-machine-learning;TypeError
8;learn-co-students/conditionals-python-readme-data-science-alpha;1 ok 
9;learn-co-students/conditionals-python-readme-data-science-intro-000;1 ok 
10;learn-co-students/conditionals-python-readme-demo-machine-learning;1 ok 
11;learn-co-students/for-loops-readme-data-science-pilot;1 ok 
12;learn-co-students/map-filter-readme-data-science-alpha;1 ok 
13;learn-co-students/map-readme-python-data-science-alpha;1 ok 
14;learn-co-students/calculating-distance-lab-ds-test-lights;Username
15;learn-co-students/map-readme-python-data-science-intro-000;1 ok 
16;learn-co-students/plotting-data-lab-data-science;1 ok 
17;learn-co-students/plotting-data-lab-data-science-alpha;1 ok 
18;learn-co-students/plotting-data-lab-data-science-intro-000;1 ok 
19;learn-co-students/plotting-data-lab-data-science-pilot;1 ok 
20;learn-co-students/plotting-data-lab-demo-machine-learning;1 ok 
21;learn-co-students/plotting-data-readme-data-science;1 ok 
22;learn-co-students/plotting-data-readme-data-science-alpha;1 ok 
23;learn-co-students/plotting-data-readme-data-science-intro-000;1 ok 
24;learn-co-students/plotting-data-readme-data-science-pilot1 ok ;1 ok 
25;learn-co-students/plotting-data-readme-demo-machine-learning;1 ok 
26;learn-co-students/python-variables-lab-data-science;1 ok 
27;learn-co-students/python-variables-lab-data-science-alpha;1 ok 
28;learn-co-students/map-readme-python-demo-machine-learning;1 ok 
29;learn-co-students/calculating-distance-lab-data-science-pilot-test;Username 
30;learn-co-students/calculating-distance-lab-data-science-pilot;1 ok 
31;learn-co-students/calculating-distance-lab-data-science-alpha;1 ok 
32;kjschiroo/mlip;Build failed. Exit status 1 
33;kmpopova/udacity-dlnd-june-2017;Build failed. Exit status 1. Error when installing pyzmq from setup.py
34;knf-us/pidays-2017-plotting-workshop;Username
35;kojoidrissa/owwc;No tests found
36;kojoidrissa/pycaribbean_2018;3 failures: Modules
37;koldunovn/AWI2;1 failure. Syntax
38;konstantinstadler/pymrio_article;1 ok
39;krisrogers/scraping;Build failed. Exit status 1. Failed when building wheel for, and installing, lxml
40;kristianperkins/nbrequests;1 ok 
41;krzdur/cdr;1 ok 
42;kulla/mfnf-statistic-20171007;1 failure. Zero division error
43;kure-kosen/deep-learning-practice;Build failed. Exit status 1. Error when installing pyzmq from setup.py
44;kwangchih/first_neural_network;Build failed. Failed building wheel for pandas. 
45;kylehounslow/jupyter-notebooks;Build failed. Exit status 1. Error when installing pyzmq from setup.py
46;l1th1um/workshop-ml-lipi-2017;Build failed. No module named numpy (during building)
47;ladisk/pyTrigger;1 ok 
48;lalwanigunjan/AdsTeam6Presentation;Build failed. Failed building wheels for pandas. 
49;landre5/first-neural-network;Build failed. Exit status 1. Error when installing pyzmq from setup.py
50;lbzqwe/binder;1 failure. AttributeError 
51;learn-co-curriculum/calculating-distance-lab;1 ok 
52;learn-co-curriculum/conditionals-python-readme;1 ok 
53;learn-co-curriculum/map-readme-python;1 ok 
54;learn-co-curriculum/plotting-data-readme;1 ok 
55;learn-co-curriculum/python-variables-lab;1 ok 
56;learn-co-curriculum/python-visualizing-with-collections;1 ok 
57;learn-co-curriculum/visualizing-in-python;1 ok 
58;learn-co-students/calculating-distance-lab-data-science;1 ok 
59;learn-co-students/python-variables-lab-data-science-intro-000;1 ok 
60;learn-co-students/python-variables-lab-data-science-pilot;1 ok 
61;learn-co-students/python-variables-lab-demo-machine-learning;1 ok 
