No;Repo;Repo2docker-checker
1;haskone/software_labs;2 failures. Modules 
2;gijoev/matplotlib-homework;1 failure. Module
3;zhenyuan992/python_data_science;1 failure. Module 
4;joseluisfortes/ChartsPresentation;5 failures. Modules
5;g10draw/data_preprocessing_tutorial;2 failures. Modules
6;FAES-BIOF/04-conditionals-example-shennonlu;Username
7;jodiberdis/astr535;5 failures. Syntax 
8;nkarman/WebProject_NoahKarman;5 failures. Modules 
9;Duan199603/GAN-Models;Username
10;stevenrouk/machine-learning-projects;1 failure. Module 
11;shibuiwilliam/weather_outlier;1 failure. Module 
12;rudikovrf/hist;Username
13;chrischute/hdfs-scalability;2 failures. Modules
14;Prashant-mahajan/Seaborn-Tutorial-;Build failed (400 client error)
15;toracle/python-basic-lecture;1 failure. Module
16;mohamedtwice/afl-cio_exercises;5 failures. Modules
17;DoraSzasz/Villages_Data_Analysis;1 failure. Module
18;shivnath-tripathy/Session4_Assignments;2 ok
19;ronaka0411/Data-Cleaning-using-Numpy-and-Pandas;1 failure. Module
20;yupitsme/WebScrapingUsingPythonin4blocksofcode;1 failure. Module 
21;savi1910/Data-Visualization-in-Python;4 failures. Modules 
22;kyle1james/machine_learning_101;Username
23;nuhil/deep-learning-research;5 failures. Modules 
24;verajohne/SEP_autoencoder;2 failures. Modules
25;miftanurfarid/HeartRateEstimation;1 failure. Module 
26;Yantai/Guided-Project--Star-Wars-survey;1 failure. Module 
27;PGE323M-Fall2017/assignment20-bnealon;Username
28;rezataeb/Glassdoor;1 ok 
29;robarthur/astrodb;1 failure. Module
30;haima-zju/udacity-deeplearning;3 failures. Modules 
31;Lalit7Jain/UnsupervisedLearning;5 failures. Ir, syntax, modules 
32;mattosinski/Market-Analysis-for-Drinks;2 failures. Module 
33;nkgsv/pynumlinal;2 failures. Modules 
34;sanjidahmy/testingx;1 fail, 1 ok. StdinNotImplementedError
35;pikkaay/name-generator-RNN;1 failure. Module 
36;huanhuanxuxu/udacity-machine-learning;Username
37;kkmonlee/Python-DataScience;1 failure. Module 
38;mlight9/Hospital_Readmission;1 failure. Notebook 
39;koustuvsinha/dl_ling_papers;1 fail, 4 ok. FileNotFound
40;KGHustad/inf1100-jupyterhub;2 failures. Module, syntax
41;evertonaleixo/country_analysis;5 failures. Modules
42;mdable2/webscraping_intro;2 failures. Modules
43;chuanxiaoshi/titanic_survival_exploration-master;1 failure. Module
44;cmflannery/pump_design;1 failure. Module
45;pfrcks/good-coding-practices;1 failure. Syntax 
46;vdevgan/vanilla-gradient-descent-implementation;1 failure. Module 
47;conradoqg/study-datascience;2 failures, 2 ok. Modules
48;lsimps204/python-data-science;Username
49;eduardofvdalmeida/Lista3-Topicos;2 failures. Modules 
50;prathameshpradhan/workshop;2 ok
51;calebcherry/udemy_pythonAnaconda_data;Username
52;white-fox11/Machine-Learning-Algorithms;1 failure. Module
53;t-davidson/facebook-and-the-german-election;1 failure. Module 
54;JulianNorton/grokking-deep-learning;3 fail, 2 ok. Modules 
55;CoolerMe/P4;Username
56;logan-spear/EE372-Lecture-12-Notes;1 failure. Module 
57;m1yag1/jupyter_notebooks;1 failure. Module 
